Series ID,Annual 2010,Annual 2011,Annual 2012,Annual 2013,Annual 2014,Annual 2015,Annual 2016,Annual 2017,Annual 2018,Annual 2019,Annual 2020
CEU6562430001,388.2,347.3,354.1,347.5,331.6,337.1,340.2,338.0,328.8,323.2,282.0
CEU6562440001,848.0,849.4,851.3,843.3,854.0,878.0,911.2,943.1,972.7,1021.2,861.4
CEU7000000001,13049,13353,13768,14254,14696,15160,15660,16051,16295,16586,13148
CEU7071000001,1913.3,1919.1,1968.6,2029.7,2103.1,2166.4,2251.5,2333.2,2382.5,2436.9,1773.2
CEU7071100001,406.2,394.2,402.4,419.2,443.3,450.4,464.4,493.8,506.4,518.9,336.3
CEU7071200001,127.7,132.7,136.1,140.3,146.9,153.0,159.6,165.6,169.5,172.6,138.1
CEU7071300001,1379.4,1392.2,1430.1,1470.2,1512.9,1563.1,1627.5,1673.8,1706.6,1745.4,1298.8
CEU7072000001,11135.4,11433.6,11799.7,12224.2,12592.9,12993.8,13408.4,13717.9,13912.9,14148.8,11374.7
CEU7072100001,1759.6,1800.5,1825.1,1864.9,1894.5,1923.0,1960.3,2002.9,2034.7,2082.4,1471.1
CEU7072200001,9375.8,9633.1,9974.6,10359.2,10698.3,11070.8,11448.1,11715.0,11878.2,12066.4,9903.6
CEU8000000001,5330,5360,5430,5483,5567,5622,5691,5770,5831,5891,5329
CEU8081100001,1138.8,1168.7,1193.9,1216.5,1242.1,1277.1,1293.1,1310.5,1326.7,1346.9,1281.0
CEU8081200001,1265.3,1288.6,1313.6,1341.7,1371.2,1405.0,1444.3,1478.4,1506.6,1535.0,1239.4
CEU8081300001,2926.4,2903.0,2922.4,2924.6,2953.6,2939.5,2953.3,2981.0,2997.9,3008.7,2808.4
CEU9000000001,22490,22086,21920,21853,21882,22029,22224,22350,22455,22613,21986
CEU9091000001,2977,2859,2820,2769,2733,2757,2795,2805,2800,2831,2930
CEU9091100001,2318.1,2227.6,2209.2,2174.5,2140.4,2160.0,2185.8,2189.4,2191.8,2224.0,2328.0
CEU9091912001,658.5,630.9,611.2,594.9,593.0,596.9,608.8,615.4,608.5,607.2,602.3
CEU9092000001,5137,5078,5055,5046,5050,5077,5110,5165,5173,5206,5135
CEU9092161101,2373.1,2374.0,2388.5,2393.3,2389.3,2401.4,2429.2,2478.7,2486.9,2515.2,2435.9
CEU9092200001,2764.1,2703.7,2666.4,2652.8,2660.5,2675.6,2680.9,2686.4,2686.4,2690.9,2699.0
CEU9093000001,14376,14150,14045,14037,14098,14195,14319,14379,14481,14576,13921
CEU9093161101,8013.4,7872.5,7777.9,7776.7,7814.9,7870.9,7905.1,7921.5,7963.0,8000.9,7581.2
CEU9093200001,6362.9,6277.7,6266.8,6260.1,6283.4,6324.0,6414.1,6457.5,6518.0,6574.9,6339.6
